family,model,horizon,mode,deterministic,n_seeds,evaluated_seeds,config_hash,frozen_config_hash,selection_method,selection_metric,hpo_budget,n_test_targets,target_start_index,nrmse_std,nrmse_std_sd,nrmse_range,rmse,mae,mase,mase_sd,mae_skill,mae_skill_sd,val_nrmse_std,train_time_s,train_time_s_sd,run_record
baseline,persistence,1,best_effort,True,0,,9c36e500916422cf,9c36e500916422cf,none,,,2199,201,0.7681523967457299,,0.11898007249851097,0.743613555108444,0.4817082584161708,0.6674436091377381,,0.354494822281746,,0.7534930768536036,5.9392999901319854e-05,,reports/jmlc_2026/best_effort/runs/baseline_persistence_h1.json
baseline,ridge_ar,1,best_effort,True,0,,793065514e689a48,793065514e689a48,fixed_grid,nrmse_std,,2199,201,0.6759801883241477,,0.10470340541160499,0.6543858134819902,0.45641098598860796,0.6323923047114689,,0.3883940134391316,,0.6668735403780304,0.02204296499985503,,reports/jmlc_2026/best_effort/runs/baseline_ridge_ar_h1.json
baseline,seasonal_persistence,1,best_effort,True,0,,2d49ad376102ddd2,2d49ad376102ddd2,none,,,2199,201,1.122987147171567,,0.1739408647963862,1.0871130108909346,0.7462500302769435,1.033986453055315,,0.0,,1.0775964211665874,6.616299970119144e-05,,reports/jmlc_2026/best_effort/runs/baseline_seasonal_persistence_h1.json
reservoir,esn,1,best_effort,False,5,42 43 44 45 46,fe4c4566a3765452,084344d7b6aa6b80,optuna,nrmse_std,60,2199,201,0.6646761458884414,0.0020204486608629084,0.10295250833151455,0.643442881821133,0.44799845269583305,0.6207360968619657,0.0025310688800906657,0.3996670894209884,0.002447874314611823,0.653996520866855,0.7181230041999698,0.09544783137031643,reports/jmlc_2026/best_effort/runs/reservoir_esn_h1.json
reservoir,leaky_esn,1,best_effort,False,5,42 43 44 45 46,a8b029ca6e8a9938,30750cf3831771b4,optuna,nrmse_std,60,2199,201,0.6607259704591355,0.01690168779529328,0.10234066078543932,0.6396188958429175,0.44488851066231455,0.6164270344807528,0.025470641431386165,0.40383451576248464,0.024633438239082577,0.6541316980028743,0.5910322010001436,0.058184938246733674,reports/jmlc_2026/best_effort/runs/reservoir_leaky_esn_h1.json
reservoir,logistic,1,best_effort,False,5,42 43 44 45 46,1d1397247e7439eb,1d072131cc95a716,optuna,nrmse_std,60,2199,201,0.7486914008853737,0.0027621208089622594,0.11596573483821353,0.724774246165351,0.5176864567682637,0.7172941527787151,0.004190479700005592,0.3062828331462266,0.004052741394844406,0.7392605401584598,0.7346782201999303,0.051669370875615156,reports/jmlc_2026/best_effort/runs/reservoir_logistic_h1.json
reservoir,lsm,1,best_effort,False,5,42 43 44 45 46,b69c061676eda11c,a92552b24f7b7c66,optuna,nrmse_std,40,2199,201,0.9422332390939981,0.004397659105845583,0.14594366895534122,0.9121333366039874,0.7246635185972111,1.0040766912596868,0.00533320758395831,0.02892664764344637,0.005157908566596041,0.9151021866806849,1.307597330200042,0.10315730681465282,reports/jmlc_2026/best_effort/runs/reservoir_lsm_h1.json
baseline,persistence,24,best_effort,True,0,,6a6a79cc9bb382bd,6a6a79cc9bb382bd,none,,,2176,224,1.1272712901613202,,0.17387280611749667,1.0866876509537429,0.7450836932807897,1.0323704040036683,,0.0,,1.080075719579498,8.452399970337865e-05,,reports/jmlc_2026/best_effort/runs/baseline_persistence_h24.json
baseline,ridge_ar,24,best_effort,True,0,,40f697e167379d4d,40f697e167379d4d,fixed_grid,nrmse_std,,2176,224,0.9023446669286984,,0.13917962844737952,0.8698587598332775,0.6557048927676027,0.9085292446449588,,0.11995806822671129,,0.8849723900754269,0.017684193000150117,,reports/jmlc_2026/best_effort/runs/baseline_ridge_ar_h24.json
baseline,seasonal_persistence,24,best_effort,True,0,,661d1716546b2b71,661d1716546b2b71,none,,,2176,224,1.1272712901613202,,0.17387280611749667,1.0866876509537429,0.7450836932807897,1.0323704040036683,,0.0,,1.080075719579498,7.730400011496386e-05,,reports/jmlc_2026/best_effort/runs/baseline_seasonal_persistence_h24.json
reservoir,esn,24,best_effort,False,5,42 43 44 45 46,699181eb9413cec0,6502840fe7c13ba2,optuna,nrmse_std,60,2176,224,0.8695831526809753,0.006244614955763818,0.1341264203468745,0.8382767145259311,0.6322818928957871,0.8760748880958733,0.006922970103117482,0.15139480490883944,0.006705897492091287,0.8504676285424775,0.5869628032000946,0.08154258296726993,reports/jmlc_2026/best_effort/runs/reservoir_esn_h24.json
reservoir,leaky_esn,24,best_effort,False,5,42 43 44 45 46,21727c65232228b6,f7f3954b37f01351,optuna,nrmse_std,60,2176,224,0.8673546620353847,0.00770897778133252,0.13378269304242055,0.8361284532458242,0.6299068095760516,0.8727840286280717,0.009927182896000683,0.15458247810737286,0.009615911941587833,0.8512763602489007,0.6576248571999713,0.10519248306947547,reports/jmlc_2026/best_effort/runs/reservoir_leaky_esn_h24.json
reservoir,logistic,24,best_effort,False,5,42 43 44 45 46,074940d6664cda44,a51c64856228e0f1,optuna,nrmse_std,60,2176,224,0.937941713645212,0.004349277584609177,0.1446701953198935,0.9041742537298028,0.6863734371078568,0.9510228568341346,0.006538011401039642,0.07879686094647557,0.00633300933045382,0.9277313824657607,0.6502301657999852,0.06377320192406515,reports/jmlc_2026/best_effort/runs/reservoir_logistic_h24.json
reservoir,lsm,24,best_effort,False,5,42 43 44 45 46,c33f3c40745d950c,dcd2316428025b11,optuna,nrmse_std,40,2176,224,0.973089492215275,0.006904863020182613,0.1500914660841819,0.938056653879529,0.7309570249934628,1.0127968253862156,0.013367791174602964,0.01895984090743368,0.01294863851458831,0.948236786968063,1.2404250481999042,0.11740233032170999,reports/jmlc_2026/best_effort/runs/reservoir_lsm_h24.json
